Offset,Length,Encoding,Context,Text
$000005,4,ascii,Bank $00 at $8005,@PT\
$000039,4,ascii,Bank $00 at $8039,PTX\
$00006d,4,ascii,Bank $00 at $806d,PTX\
$0000a1,4,ascii,Bank $00 at $80a1,HLPP
$0000d5,4,ascii,Bank $00 at $80d5,HX\\
$000109,4,ascii,Bank $00 at $8109,HX\\
$00013d,4,ascii,Bank $00 at $813d,HX\\
$000171,4,ascii,Bank $00 at $8171,PTX\
$0001a5,4,ascii,Bank $00 at $81a5,PTX\
$0001d9,5,ascii,Bank $00 at $81d9,PTX\ 
$000238,7,ascii,Bank $00 at $8238,"!""#$%@Z"
$000333,3,dq3_jp,Bank $00 at $8333,[CTRL][$90][$c9]
$00039f,5,ascii,Bank $00 at $839f,A&PoW
$00041f,4,ascii,Bank $00 at $841f,A&pf
$0004f4,3,dq3_jp,Bank $00 at $84f4,[CTRL][$8f][$dc]
$000ed6,5,ascii,Bank $00 at $8ed6,JJJJJ
$000ee7,4,ascii,Bank $00 at $8ee7,)|JJ
$001103,4,ascii,Bank $00 at $9103, h(k
$00110a,4,ascii,Bank $00 at $910a, d2H
$0012b1,4,ascii,Bank $00 at $92b1,0&2*
$0012df,4,ascii,Bank $00 at $92df,(Hhk
$001349,6,ascii,Bank $00 at $9349,"(HhkH"""
$00135b,4,ascii,Bank $00 at $935b,(Hhk
$00136b,4,ascii,Bank $00 at $936b,(Hhk
$00137f,4,ascii,Bank $00 at $937f,(Hhk
$001391,5,ascii,Bank $00 at $9391,h(Hhk
$0013bb,7,ascii,Bank $00 at $93bb,0&2&4&6
$0013e4,7,ascii,Bank $00 at $93e4,F6f4f2j
$0013fa,4,ascii,Bank $00 at $93fa,0:8k
$00144a,4,ascii,Bank $00 at $944a,0:8k
$001558,8,ascii,Bank $00 at $9558,%1>JVamx
$001560,18,dq3_jp,Bank $00 at $9560,[CTRL][$8e][$98][$a2][$ab][$b5][$bd][$c5][$cd][$d4][$db][$e1][$e7][$ec][$f1][$f4][$f8][$fb]
$0015d0,5,ascii,Bank $00 at $95d0,3JJJJ
$0015de,5,ascii,Bank $00 at $95de,2JJJJ
$0015ec,5,ascii,Bank $00 at $95ec,1JJJJ
$0015fa,5,ascii,Bank $00 at $95fa,0JJJJ
$001604,4,ascii,Bank $00 at $9604,zh(k
$001b28,4,dq3_item,Bank $00 at $9b28,[$88]BR
$001ce4,3,dq3_jp,Bank $00 at $9ce4,[CTRL][$87]y
$001d48,3,dq3_jp,Bank $00 at $9d48,[CTRL]qC
$002136,4,ascii,Bank $00 at $a136,hhhh
$0021d7,4,ascii,Bank $00 at $a1d7,hhhh
$002210,7,ascii,Bank $00 at $a210,JJJJJH)
$00221e,7,ascii,Bank $00 at $a21e,hJJJJJ)
$0022b7,4,ascii,Bank $00 at $a2b7,(8kz
$002303,4,ascii,Bank $00 at $a303,(8kz
$00241d,5,ascii,Bank $00 at $a41d,(k\#$
$002429,5,ascii,Bank $00 at $a429,JJJJJ
$00268e,4,ascii,Bank $00 at $a68e,~h(k
$002731,4,ascii,Bank $00 at $a731,~h(k
$00288c,5,ascii,Bank $00 at $a88c,}~\t'
$0028ae,5,ascii,Bank $00 at $a8ae,}~\t'
$0028e8,5,ascii,Bank $00 at $a8e8,}~\t'
$0028fc,6,ascii,Bank $00 at $a8fc,(~~\|)
$002a46,4,ascii,Bank $00 at $aa46,}\|)
$002a5f,6,ascii,Bank $00 at $aa5f,(~~\|)
$002e8e,4,ascii,Bank $00 at $ae8e," ""{l"
$002f2b,4,ascii,Bank $00 at $af2b,h B/
$002f84,4,ascii,Bank $00 at $af84,~h(k
$002f92,4,ascii,Bank $00 at $af92,~h(k
$003056,4,ascii,Bank $00 at $b056,(8kz
$00307d,4,ascii,Bank $00 at $b07d,(8kz
$0030a3,4,ascii,Bank $00 at $b0a3,(8kz
$0030c9,4,ascii,Bank $00 at $b0c9,(8kz
$0030ef,4,ascii,Bank $00 at $b0ef,(8kz
$003116,4,ascii,Bank $00 at $b116,(8kz
$00313c,4,ascii,Bank $00 at $b13c,(8kz
$003162,4,ascii,Bank $00 at $b162,(8kz
$00349d,5,ascii,Bank $00 at $b49d,Z A2z
$0042dc,4,ascii,Bank $00 at $c2dc,JJJJ
$0042f9,4,ascii,Bank $00 at $c2f9,JJJJ
$00431c,11,ascii,Bank $00 at $c31c,!/1?AOQ_aoq
$004328,15,dq3_jp,Bank $00 at $c328,[CTRL][$8f][$91][$9f][$a1][$af][$b1][$bf][$c1][$cf][$d1][$df][$e1][$ef][$f1]
$0045ad,4,ascii,Bank $00 at $c5ad,JJJJ
$0048ae,4,ascii,Bank $00 at $c8ae,(8kz
$0049bb,4,ascii,Bank $00 at $c9bb,***)
$004a3a,6,ascii,Bank $00 at $ca3a,zLKIzz
$004b53,4,ascii,Bank $00 at $cb53,***)
$004c07,6,ascii,Bank $00 at $cc07, LdKzL
$004e0f,4,ascii,Bank $00 at $ce0f, LmM
$004e21,4,ascii,Bank $00 at $ce21,***)
$004ee0,10,ascii,Bank $00 at $cee0, L2NzLmMzz
$004f4e,3,dq3_jp,Bank $00 at $cf4e,[CTRL]O[$c0]
$004f87,4,ascii,Bank $00 at $cf87,O0P)
$004f8d,4,ascii,Bank $00 at $cf8d,kH-^
$004f9d,4,ascii,Bank $00 at $cf9d,kh-^
$004fae,4,ascii,Bank $00 at $cfae,kH-^
$004fd7,4,ascii,Bank $00 at $cfd7,kh-^
$004fe8,4,ascii,Bank $00 at $cfe8,kH-^
$00501e,4,ascii,Bank $00 at $d01e,kh-^
$00512b,4,ascii,Bank $00 at $d12b,~h(k
$005163,4,ascii,Bank $00 at $d163,~h(k
$005170,4,dq3_jp,Bank $00 at $d170,[CTRL]R[$c0][$a9]
$005177,4,dq3_jp,Bank $00 at $d177,[CTRL]R[$c0][$a9]
$00517e,4,dq3_jp,Bank $00 at $d17e,[CTRL]R[$c0]h
$0052ba,4,dq3_jp,Bank $00 at $d2ba,[CTRL]R[$c0][$a9]
$0052c1,4,dq3_jp,Bank $00 at $d2c1,[CTRL]R[$c0][$ad]
$005626,4,ascii,Bank $00 at $d626,~h(k
$005645,4,ascii,Bank $00 at $d645,~h(k
$005664,4,ascii,Bank $00 at $d664,~h(k
$005795,4,ascii,Bank $00 at $d795,~h(k
$0057a8,5,ascii,Bank $00 at $d7a8,JJJJJ
$0057d6,4,ascii,Bank $00 at $d7d6,JJJc
$0057f2,5,ascii,Bank $00 at $d7f2,JJJJJ
$005d94,4,ascii,Bank $00 at $dd94,h(8k
$005e54,4,ascii,Bank $00 at $de54,h(8k
$005f14,4,ascii,Bank $00 at $df14,h(8k
$006446,4,ascii,Bank $00 at $e446,m |d
$00644c,4,ascii,Bank $00 at $e44c,u |d
$006452,4,ascii,Bank $00 at $e452,} |d
$006479,4,ascii,Bank $00 at $e479,h(kH
$0067a6,5,ascii,Bank $00 at $e7a6,"Fp;""r"
$0067e9,4,ascii,Bank $00 at $e7e9,h(8k
$006847,5,ascii,Bank $00 at $e847,"Fp;""r"
$00688a,4,ascii,Bank $00 at $e88a,h(8k
$0068e8,5,ascii,Bank $00 at $e8e8,"Fp;""r"
$00692b,4,ascii,Bank $00 at $e92b,h(8k
$0069b8,4,ascii,Bank $00 at $e9b8,h(8k
$006a3e,4,ascii,Bank $00 at $ea3e,h(8k
$006ac4,4,ascii,Bank $00 at $eac4,h(8k
$006cc7,4,ascii,Bank $00 at $ecc7,k Ym
$006d4e,4,ascii,Bank $00 at $ed4e,k Ym
$006dd5,5,ascii,Bank $00 at $edd5,"LXn""r"
$006e46,4,ascii,Bank $00 at $ee46,h(8k
$006eb7,5,ascii,Bank $00 at $eeb7,"L:o""r"
$006f28,4,ascii,Bank $00 at $ef28,h(8k
$00700a,4,ascii,Bank $00 at $f00a,h(8k
$00706c,4,ascii,Bank $00 at $f06c,h(8k
$0070ce,4,ascii,Bank $00 at $f0ce,h(8k
$007130,4,ascii,Bank $00 at $f130,h(8k
$007163,6,ascii,Bank $00 at $f163,"q Nu""r"
$0071f7,4,ascii,Bank $00 at $f1f7,h(8k
$00721c,6,ascii,Bank $00 at $f21c,"r Nu""r"
$0072b0,4,ascii,Bank $00 at $f2b0,h(8k
$0072d3,8,ascii,Bank $00 at $f2d3,"Lms Nu""r"
$007369,4,ascii,Bank $00 at $f369,h(8k
$007445,4,ascii,Bank $00 at $f445,h(8k
$00746d,5,ascii,Bank $00 at $f46d,01 Nu
$007489,4,ascii,Bank $00 at $f489, cud
$00749c,4,ascii,Bank $00 at $f49c,h(8k
$0074a8,4,ascii,Bank $00 at $f4a8,"k""qZ"
$007551,4,ascii,Bank $00 at $f551,~JJJ
$00755b,4,ascii,Bank $00 at $f55b,~JJJ
$00759b,4,ascii,Bank $00 at $f59b,"`""qZ"
$00767a,4,ascii,Bank $00 at $f67a,h(8k
$0076ee,5,ascii,Bank $00 at $f6ee,"Lxw""r"
$00775f,4,ascii,Bank $00 at $f75f,h(8k
$007795,3,dq3_jp,Bank $00 at $f795,[CTRL]B[$c5]
$0077a7,3,dq3_jp,Bank $00 at $f7a7,[CTRL]B[$c5]
$0077d3,5,ascii,Bank $00 at $f7d3,"L]x""r"
$0077dd,3,dq3_jp,Bank $00 at $f7dd,[CTRL]B[$c5]
$0077f3,3,dq3_jp,Bank $00 at $f7f3,[CTRL]B[$c5]
$007809,3,dq3_jp,Bank $00 at $f809,[CTRL]B[$c5]
$007817,3,dq3_jp,Bank $00 at $f817,[CTRL]B[$c5]
$007828,3,dq3_jp,Bank $00 at $f828,[CTRL]B[$c5]
$007844,4,ascii,Bank $00 at $f844,h(8k
$0078ad,4,ascii,Bank $00 at $f8ad,h(8k
$007916,4,ascii,Bank $00 at $f916,h(8k
$00797f,4,ascii,Bank $00 at $f97f,h(8k
$0079a0,4,ascii,Bank $00 at $f9a0,"k""qZ"
$0079cd,5,ascii,Bank $00 at $f9cd,"8`""qZ"
$007a14,9,dq3_jp,Bank $00 at $fa14,[CTRL][$e4][$ad][$a2][$ae][$99][$92][$e4][$a9]
$007a8b,4,ascii,Bank $00 at $fa8b,L+{ 
$007b16,4,dq3_jp,Bank $00 at $fb16,[CTRL][$96]~[$85]
$007b27,4,ascii,Bank $00 at $fb27,h(8k
$007bd6,4,dq3_jp,Bank $00 at $fbd6,[CTRL][$96]~[$85]
$007be7,4,ascii,Bank $00 at $fbe7,h(8k
$007c18,3,dq3_jp,Bank $00 at $fc18,[CTRL]B[$c5]
$007c2a,3,dq3_jp,Bank $00 at $fc2a,[CTRL]B[$c5]
$007c4e,3,dq3_jp,Bank $00 at $fc4e,[CTRL]B[$c5]
$007c5c,3,dq3_jp,Bank $00 at $fc5c,[CTRL]B[$c5]
$007c6d,3,dq3_jp,Bank $00 at $fc6d,[CTRL]B[$c5]
$007c7e,3,dq3_jp,Bank $00 at $fc7e,[CTRL]B[$c5]
$007c96,4,dq3_jp,Bank $00 at $fc96,[CTRL][$96]~[$85]
$007ca7,4,ascii,Bank $00 at $fca7,h(8k
$007cf1,4,dq3_jp,Bank $00 at $fcf1,[CTRL][$96]~[$85]
$007d02,4,ascii,Bank $00 at $fd02,h(8k
$007d36,4,ascii,Bank $00 at $fd36,h(8k
$007d6a,4,ascii,Bank $00 at $fd6a,h(8k
$007d8a,3,dq3_jp,Bank $00 at $fd8a,[CTRL]B[$c5]
$007d9e,4,ascii,Bank $00 at $fd9e,h(8k
$007db5,5,ascii,Bank $00 at $fdb5,~JJJ)
$007dca,6,dq3_jp,Bank $00 at $fdca,[CTRL][$96]~JJJ
$007dcc,5,ascii,Bank $00 at $fdcc,~JJJ)
$007f63,3,dq3_jp,Bank $00 at $ff63,[CTRL][$ab][$c2]
$007f69,4,ascii,Bank $00 at $ff69,h(8k
$00805c,3,dq3_jp,Bank $01 at $805c,[CTRL][$ab][$c2]
$008062,4,ascii,Bank $01 at $8062,h(8k
$008155,3,dq3_jp,Bank $01 at $8155,[CTRL][$ab][$c2]
$00815b,4,ascii,Bank $01 at $815b,h(8k
$00822e,5,dq3_jp,Bank $01 at $822e,[CTRL][$ad][$b8][$e0][$85]
$008240,4,ascii,Bank $01 at $8240,h(8k
$00830c,5,dq3_jp,Bank $01 at $830c,[CTRL][$ad][$b8][$e0][$85]
$00831e,4,ascii,Bank $01 at $831e,h(8k
$0083ea,5,dq3_jp,Bank $01 at $83ea,[CTRL][$ad][$b8][$e0][$85]
$0083fc,4,ascii,Bank $01 at $83fc,h(8k
$008413,5,ascii,Bank $01 at $8413,~JJJ)
$00842a,5,ascii,Bank $01 at $842a,~JJJ)
$008460,4,ascii,Bank $01 at $8460,"JJJ"""
$008479,4,ascii,Bank $01 at $8479,"`""qZ"
$0084ca,15,dq3_jp,Bank $01 at $84ca,[CTRL][$e4][$ad][$a2][$ae][$99][$92][$e4][$ad]T[$b7][$99][$c2][$e4][$a9]
$008844,4,ascii,Bank $01 at $8844,JJ`)
$008952,7,dq3_jp,Bank $01 at $8952,[CTRL]a[$8d]p[$96][$a9][$c5]
$008985,8,dq3_jp,Bank $01 at $8985,[CTRL]Q[$c5]H[$bf][CTRL]Q[$c5]
$0089b2,4,dq3_jp,Bank $01 at $89b2,[CTRL]Q[$c5][$99]
$008a58,4,dq3_jp,Bank $01 at $8a58,[CTRL]Q[$c5][$99]
$008a5f,4,dq3_jp,Bank $01 at $8a5f,[CTRL]Q[$c5][$99]
$008e04,7,dq3_jp,Bank $01 at $8e04,[CTRL]|[$8d][$cc]}[$ab][$c2]
$008e0e,4,ascii,Bank $01 at $8e0e,h(8k
$008e2e,12,dq3_jp,Bank $01 at $8e2e,[CTRL]|[$8d][$cc]}[$b9][$c2]|[$8d][$ce]}[$a9]
$008f2a,7,dq3_jp,Bank $01 at $8f2a,[CTRL]|[$8d][$cc]}[$ab][$c2]
$008f34,4,ascii,Bank $01 at $8f34,h(8k
$008f8f,6,dq3_jp,Bank $01 at $8f8f,[CTRL]}[$80][$e5][$fa]`
$009045,4,ascii,Bank $01 at $9045,h(8k
$009173,4,ascii,Bank $01 at $9173,~h(k
$009181,4,ascii,Bank $01 at $9181,~h(k
$0091ec,4,ascii,Bank $01 at $91ec,04<I
$00929d,4,ascii,Bank $01 at $929d,h(kh
$009321,4,ascii,Bank $01 at $9321,0><I
$0093d4,93,dq3_jp,Bank $01 at $93d4,[CTRL][$db][$8d][$88][$db][$8d][$8c][$db][$8d][$90][$db][$8d][$94][$db][$8d][$98][$db][$8d][$9c][$db $009494,93,dq3_jp,Bank $01 at $9494,[CTRL][$dc][$8d][$88][$dc][$8d][$8c][$dc][$8d][$90][$dc][$8d][$94][$dc][$8d][$98][$dc][$8d][$9c][$dc
$009579,4,ascii,Bank $01 at $9579,"0B,I"
$0095c0,4,ascii,Bank $01 at $95c0,"0B,K"
$009607,4,ascii,Bank $01 at $9607,"0B,M"
$00964e,4,ascii,Bank $01 at $964e,"0B,O"
$009695,4,ascii,Bank $01 at $9695,"0B,Q"
$0096dc,4,ascii,Bank $01 at $96dc,"0B,S"
$009723,4,ascii,Bank $01 at $9723,"0B,U"
$00976a,4,ascii,Bank $01 at $976a,"0B,W"
$0097b1,4,ascii,Bank $01 at $97b1,"0B,Y"
$0097f8,4,ascii,Bank $01 at $97f8,"0B,["
$00983f,4,ascii,Bank $01 at $983f,"0B,]"
$009886,4,ascii,Bank $01 at $9886,"0B,_"
$0098cd,4,ascii,Bank $01 at $98cd,"0B,a"
$009914,4,ascii,Bank $01 at $9914,"0B,c"
$00995b,4,ascii,Bank $01 at $995b,"0B,e"
$0099a2,4,ascii,Bank $01 at $99a2,"0B,g"
$0099e9,4,ascii,Bank $01 at $99e9,"0B,i"
$009a30,4,ascii,Bank $01 at $9a30,"0B,k"
$009a77,4,ascii,Bank $01 at $9a77,"0B,m"
$009abe,4,ascii,Bank $01 at $9abe,"0B,o"
$009b05,4,ascii,Bank $01 at $9b05,"0B,q"
$009b4c,4,ascii,Bank $01 at $9b4c,"0B,s"
$009b93,4,ascii,Bank $01 at $9b93,"0B,u"
$009bda,4,ascii,Bank $01 at $9bda,"0B,w"
$009c21,4,ascii,Bank $01 at $9c21,"0B,y"
$009c68,4,ascii,Bank $01 at $9c68,"0B,{"
$009caf,4,ascii,Bank $01 at $9caf,"0B,}"
$009d40,3,dq3_jp,Bank $01 at $9d40,[CTRL][$dd]p
$009d87,3,dq3_jp,Bank $01 at $9d87,[CTRL][$dd]p
$009e5b,4,ascii,Bank $01 at $9e5b,"0L,I"
$009eac,4,ascii,Bank $01 at $9eac,"0L,K"
$009efd,4,ascii,Bank $01 at $9efd,"0L,M"
$009f4e,4,ascii,Bank $01 at $9f4e,"0L,O"
$009f9f,4,ascii,Bank $01 at $9f9f,"0L,Q"
$009ff0,4,ascii,Bank $01 at $9ff0,"0L,S"
$00a041,4,ascii,Bank $01 at $a041,"0L,U"
$00a092,4,ascii,Bank $01 at $a092,"0L,W"
$00a0e3,4,ascii,Bank $01 at $a0e3,"0L,Y"
$00a134,4,ascii,Bank $01 at $a134,"0L,["
$00a185,4,ascii,Bank $01 at $a185,"0L,]"
$00a1d6,4,ascii,Bank $01 at $a1d6,"0L,_"
$00a227,4,ascii,Bank $01 at $a227,"0L,a"
$00a278,4,ascii,Bank $01 at $a278,"0L,c"
$00a2c9,4,ascii,Bank $01 at $a2c9,"0L,e"
$00a31a,4,ascii,Bank $01 at $a31a,"0L,g"
$00a36b,4,ascii,Bank $01 at $a36b,"0L,i"
$00a3bc,4,ascii,Bank $01 at $a3bc,"0L,k"
$00a40d,4,ascii,Bank $01 at $a40d,"0L,m"
$00a45e,4,ascii,Bank $01 at $a45e,"0L,o"
$00a4af,4,ascii,Bank $01 at $a4af,"0L,q"
$00a500,4,ascii,Bank $01 at $a500,"0L,s"
$00a551,4,ascii,Bank $01 at $a551,"0L,u"
$00a5a2,4,ascii,Bank $01 at $a5a2,"0L,w"
$00a5f3,4,ascii,Bank $01 at $a5f3,"0L,y"
$00a644,4,ascii,Bank $01 at $a644,"0L,{"
$00a695,4,ascii,Bank $01 at $a695,"0L,}"
$00a73a,3,dq3_jp,Bank $01 at $a73a,[CTRL][$dd]p
$00a78b,3,dq3_jp,Bank $01 at $a78b,[CTRL][$dd]p
$00a87d,4,ascii,Bank $01 at $a87d,"0L,I"
$00a8ce,4,ascii,Bank $01 at $a8ce,"0L,K"
$00a91f,4,ascii,Bank $01 at $a91f,"0L,M"
$00a970,4,ascii,Bank $01 at $a970,"0L,O"
$00a9c1,4,ascii,Bank $01 at $a9c1,"0L,Q"
$00aa12,4,ascii,Bank $01 at $aa12,"0L,S"
$00aa63,4,ascii,Bank $01 at $aa63,"0L,U"
$00aab4,4,ascii,Bank $01 at $aab4,"0L,W"
$00ab05,4,ascii,Bank $01 at $ab05,"0L,Y"
$00ab56,4,ascii,Bank $01 at $ab56,"0L,["
$00aba7,4,ascii,Bank $01 at $aba7,"0L,]"
$00abf8,4,ascii,Bank $01 at $abf8,"0L,_"
$00ac49,4,ascii,Bank $01 at $ac49,"0L,a"
$00ac9a,4,ascii,Bank $01 at $ac9a,"0L,c"
$00aceb,4,ascii,Bank $01 at $aceb,"0L,e"
$00ad3c,4,ascii,Bank $01 at $ad3c,"0L,g"
$00ad8d,4,ascii,Bank $01 at $ad8d,"0L,i"
$00adde,4,ascii,Bank $01 at $adde,"0L,k"
$00ae2f,4,ascii,Bank $01 at $ae2f,"0L,m"
$00ae80,4,ascii,Bank $01 at $ae80,"0L,o"
$00aed1,4,ascii,Bank $01 at $aed1,"0L,q"
$00af22,4,ascii,Bank $01 at $af22,"0L,s"
$00af73,4,ascii,Bank $01 at $af73,"0L,u"
$00afc4,4,ascii,Bank $01 at $afc4,"0L,w"
$00b015,4,ascii,Bank $01 at $b015,"0L,y"
$00b066,4,ascii,Bank $01 at $b066,"0L,{"
$00b0b7,4,ascii,Bank $01 at $b0b7,"0L,}"
$00b15c,3,dq3_jp,Bank $01 at $b15c,[CTRL][$dd]p
$00b1ad,3,dq3_jp,Bank $01 at $b1ad,[CTRL][$dd]p
$00b29f,4,ascii,Bank $01 at $b29f,"0R,I"
$00b2f6,4,ascii,Bank $01 at $b2f6,"0R,K"
$00b34d,4,ascii,Bank $01 at $b34d,"0R,M"
$00b3a4,4,ascii,Bank $01 at $b3a4,"0R,O"
$00b3fb,4,ascii,Bank $01 at $b3fb,"0R,Q"
$00b452,4,ascii,Bank $01 at $b452,"0R,S"
$00b4a9,4,ascii,Bank $01 at $b4a9,"0R,U"
$00b500,4,ascii,Bank $01 at $b500,"0R,W"
$00b557,4,ascii,Bank $01 at $b557,"0R,Y"
$00b5ae,4,ascii,Bank $01 at $b5ae,"0R,["
$00b605,4,ascii,Bank $01 at $b605,"0R,]"
$00b65c,4,ascii,Bank $01 at $b65c,"0R,_"
$00b6b3,4,ascii,Bank $01 at $b6b3,"0R,a"
$00b70a,4,ascii,Bank $01 at $b70a,"0R,c"
$00b761,4,ascii,Bank $01 at $b761,"0R,e"
$00b7b8,4,ascii,Bank $01 at $b7b8,"0R,g"
$00b80f,4,ascii,Bank $01 at $b80f,"0R,i"
$00b866,4,ascii,Bank $01 at $b866,"0R,k"
$00b8bd,4,ascii,Bank $01 at $b8bd,"0R,m"
$00b914,4,ascii,Bank $01 at $b914,"0R,o"
$00b96b,4,ascii,Bank $01 at $b96b,"0R,q"
$00b9c2,4,ascii,Bank $01 at $b9c2,"0R,s"
$00ba19,4,ascii,Bank $01 at $ba19,"0R,u"
$00ba70,4,ascii,Bank $01 at $ba70,"0R,w"
$00bac7,4,ascii,Bank $01 at $bac7,"0R,y"
$00bb1e,4,ascii,Bank $01 at $bb1e,"0R,{"
$00bb75,4,ascii,Bank $01 at $bb75,"0R,}"
$00bc26,3,dq3_jp,Bank $01 at $bc26,[CTRL][$dd]p
$00bc7d,3,dq3_jp,Bank $01 at $bc7d,[CTRL][$dd]p
$00c92b,4,ascii,Bank $01 at $c92b,k8kk
$00ca1a,4,ascii,Bank $01 at $ca1a," k"","
$00ca35,4,ascii,Bank $01 at $ca35," k""G"
$00ca56,4,ascii,Bank $01 at $ca56," k""h"
$00cb49,85,dq3_jp,Bank $01 at $cb49,[CTRL][$f5][$8d][$b9][$f5][$ad][CTRL][$f5][$8d][$bb][$f5][$ad][$85][$f5][$8d][$bd][$f5][$ad][$87][$f
$00cd5b,4,ascii,Bank $01 at $cd5b,"8kk"""
$00cda8,4,ascii,Bank $01 at $cda8,JJJ8
$00cdb8,4,ascii,Bank $01 at $cdb8,JJJ8
$00d824,4,dq3_jp,Bank $01 at $d824,[CTRL][$ee]~[$a5]
$00d83e,4,dq3_jp,Bank $01 at $d83e,[CTRL][$ee]~[$a5]
$00d858,4,dq3_jp,Bank $01 at $d858,[CTRL][$ee]~[$a5]
$00d872,4,dq3_jp,Bank $01 at $d872,[CTRL][$ee]~[$a5]
$00d9f1,4,dq3_jp,Bank $01 at $d9f1,[CTRL][$f0]~[$a9]
$00da0b,4,dq3_jp,Bank $01 at $da0b,[CTRL][$f0]~[$a9]
$00e6f1,4,dq3_jp,Bank $01 at $e6f1,[CTRL][$f1]~[$a9]
$00e70b,4,dq3_jp,Bank $01 at $e70b,[CTRL][$f1]~[$a9]
$00ec81,4,dq3_jp,Bank $01 at $ec81,[CTRL][$93][$d8][$92]
$00ec87,4,dq3_jp,Bank $01 at $ec87,[CTRL][$91][$da][$90]
$00ecb0,5,dq3_jp,Bank $01 at $ecb0,[CTRL][$92][CTRL][$e8][CTRL]
$00ecb6,8,dq3_jp,Bank $01 at $ecb6,[CTRL][$94][CTRL][$ea][$80]@[$80][$96]
$00ed5a,5,ascii,Bank $01 at $ed5a,K KvJ
$00ed60,5,ascii,Bank $01 at $ed60,"I""IxH"
$00ed66,5,ascii,Bank $01 at $ed66,G$GzF
$00ed6c,5,ascii,Bank $01 at $ed6c,E&E|D
$00ed72,5,ascii,Bank $01 at $ed72,C(C~B
$00f27f,4,ascii,Bank $01 at $f27f,h(+k
$00f297,5,ascii,Bank $01 at $f297,h(+kH
$00ffb0,6,ascii,Bank $01 at $ffb0,B4AQ3J
$00ffc0,22,ascii,Bank $01 at $ffc0,DRAGONQUEST3         5
$010170,3,dq3_jp,Bank $02 at $8170,[CTRL][$e9][$f7]
$010443,4,ascii,Bank $02 at $8443,"!""PW"
$0106b8,3,dq3_jp,Bank $02 at $86b8,[CTRL][$b4][$f8]
$0106f8,3,dq3_jp,Bank $02 at $86f8,[CTRL][$b7][$f8]
$01078b,4,ascii,Bank $02 at $878b,/$*5
$0107b8,3,dq3_jp,Bank $02 at $87b8,[CTRL][$c8][$f8]
$0108cb,4,ascii,Bank $02 at $88cb,!>V;
$010c9f,3,dq3_jp,Bank $02 at $8c9f,[CTRL][$b8][$c1]
$010ff4,7,ascii,Bank $02 at $8ff4,HHHpHHH
$011014,7,ascii,Bank $02 at $9014,HHHHHHH
$011063,9,ascii,Bank $02 at $9063,p       p
$011137,5,ascii,Bank $02 at $9137,PPP  
$011155,5,ascii,Bank $02 at $9155,PP PP
$0111d3,4,ascii,Bank $02 at $91d3,0H@@
$0111d8,4,ascii,Bank $02 at $91d8,@@@@
$011206,6,ascii,Bank $02 at $9206,`    p
$011233,9,ascii,Bank $02 at $9233,`       p
$0112b7,5,ascii,Bank $02 at $92b7,@@@H0
$0112f7,4,ascii,Bank $02 at $92f7,P  P
$011397,5,ascii,Bank $02 at $9397,  @@@
$011454,7,ascii,Bank $02 at $9454,  @@@  
$012033,4,ascii,Bank $02 at $a033,"0s`"""
$0120a2,4,ascii,Bank $02 at $a0a2,"/IZ"""
$0121d2,4,dq3_jp,Bank $02 at $a1d2,[CTRL][$c8][$e7]E
$01223c,5,ascii,Bank $02 at $a23c, 8i)P
$01225b,6,ascii,Bank $02 at $a25b,"s*H""b "
$012286,5,ascii,Bank $02 at $a286,_DT(*
$01232a,4,ascii,Bank $02 at $a32a,|%J_
$01232f,4,ascii,Bank $02 at $a32f,TE$!
$01233b,4,dq3_jp,Bank $02 at $a33b,[CTRL]Q[$8c]b
$012370,5,ascii,Bank $02 at $a370,(_SNU
$0123a4,3,dq3_jp,Bank $02 at $a3a4,[CTRL]|[$a4]
$0123c3,3,dq3_jp,Bank $02 at $a3c3,[CTRL][$fc][$c5]
$0123e9,4,ascii,Bank $02 at $a3e9,G$)*
$012403,4,dq3_jp,Bank $02 at $a403,[CTRL][$92][$f4][$b8]
$0124ba,4,ascii,Bank $02 at $a4ba,|LqI
$0124c7,6,dq3_jp,Bank $02 at $a4c7,[CTRL][$88][$a7][$88]o[$c7]
$012508,5,ascii,Bank $02 at $a508,$>E)R
$012538,4,dq3_jp,Bank $02 at $a538,[CTRL][$94][$a8][$f2]
$012555,5,ascii,Bank $02 at $a555,(E)LE
$012576,4,dq3_jp,Bank $02 at $a576,[CTRL]J[$92][$92]
$0125b0,4,ascii,Bank $02 at $a5b0,HLrR
$0125bd,3,dq3_jp,Bank $02 at $a5bd,[CTRL][$be][$e4]
$0125ce,4,ascii,Bank $02 at $a5ce,^%>Q
$012608,4,ascii,Bank $02 at $a608,&*Q'
$01261a,4,dq3_jp,Bank $02 at $a61a,[CTRL]@I[$f9]
$012679,5,ascii,Bank $02 at $a679,(%IIF
$01268a,5,ascii,Bank $02 at $a68a,cd%(A
$012746,4,ascii,Bank $02 at $a746,*QIR
$01274c,5,ascii,Bank $02 at $a74c,8Dg*P
$012784,4,dq3_jp,Bank $02 at $a784,[CTRL][$88][$a8][$bf]
$0127b7,6,ascii,Bank $02 at $a7b7,"HDD""(@"
$01283d,6,dq3_jp,Bank $02 at $a83d,[CTRL][$a0][$e7]I[$8a][$90]
$01286b,4,dq3_jp,Bank $02 at $a86b,[CTRL]P[$8e]j
$012887,3,dq3_jp,Bank $02 at $a887,[CTRL]G[$c2]
