Offset,Length,Encoding,Context,Text
$0ad118,4,dq3_jp,Bank $15 at $d118,[CTRL][$be][$a9]@
$0ad135,6,dq3_jp,Bank $15 at $d135,[CTRL][$d3][$cc]k[$ad][$89]
$0ad15d,4,dq3_jp,Bank $15 at $d15d,[CTRL][$96][$a2][$d1]
$0ad198,6,dq3_jp,Bank $15 at $d198,[CTRL][$d3][$cc]k[$ad][$8a]
$0ad1c0,4,dq3_jp,Bank $15 at $d1c0,[CTRL][$96][$a2][$d1]
$0ad1fb,6,dq3_jp,Bank $15 at $d1fb,[CTRL][$d3][$cc]k[$ad][$8a]
$0ad223,4,dq3_jp,Bank $15 at $d223,[CTRL][$96][$a2][$d1]
$0ad23b,4,dq3_jp,Bank $15 at $d23b,[CTRL][$be][$a9][$b0]
$0ad241,3,dq3_jp,Bank $15 at $d241,[CTRL][$be][$a9]
$0ad25e,6,dq3_jp,Bank $15 at $d25e,[CTRL][$d3][$cc]k[$ad][$8a]
$0ad286,4,dq3_jp,Bank $15 at $d286,[CTRL][$96][$a2][$d1]
$0ad2c1,6,dq3_jp,Bank $15 at $d2c1,[CTRL][$d3][$cc]k[$ad][$8a]
$0ad2e9,4,dq3_jp,Bank $15 at $d2e9,[CTRL][$96][$a2][$d1]
$0ad324,6,dq3_jp,Bank $15 at $d324,[CTRL][$d3][$cc]k[$ad]X
$0ad329,4,ascii,Bank $15 at $d329,X5) 
$0ad34c,4,dq3_jp,Bank $15 at $d34c,[CTRL][$96][$a2][$a3]
$0ad378,6,dq3_jp,Bank $15 at $d378,[CTRL][$d3][$cc]k[$ad]E
$0ad3f3,4,dq3_jp,Bank $15 at $d3f3,[CTRL][$d3][$cc]k
$0ad405,4,dq3_jp,Bank $15 at $d405,[CTRL][$96][$a2][$87]
$0ad420,4,dq3_jp,Bank $15 at $d420,[CTRL][$96][$a2][$88]
$0ad5f7,6,dq3_jp,Bank $15 at $d5f7,[CTRL][$d3][$cc]k[$a9][$f0]
$0ad605,4,dq3_jp,Bank $15 at $d605,[CTRL][$96][$a2][$a3]
$0ad63f,6,dq3_jp,Bank $15 at $d63f,[CTRL][$d3][$cc]k[$a9][$a0]
$0ad64d,4,dq3_jp,Bank $15 at $d64d,[CTRL][$96][$a2][$d1]
$0ad6de,4,ascii,Bank $15 at $d6de,F5) 
$0ad70f,4,ascii,Bank $15 at $d70f,E5) 
$0ad733,4,dq3_jp,Bank $15 at $d733,[CTRL][$96][$a2][$a1]
$0ad755,3,dq3_jp,Bank $15 at $d755,[CTRL][$96][$a2]
$0ad76b,3,dq3_jp,Bank $15 at $d76b,[CTRL][$96][$a2]
$0ad7ae,4,dq3_jp,Bank $15 at $d7ae,[CTRL][$96][$a2][$a0]
$0ad831,4,ascii,Bank $15 at $d831,O5) 
$0ad845,4,dq3_jp,Bank $15 at $d845,[CTRL][$96][$a2][$c7]
$0ad883,3,dq3_jp,Bank $15 at $d883,[CTRL][$96][$a2]
$0ad899,3,dq3_jp,Bank $15 at $d899,[CTRL][$96][$a2]
$0ad8db,4,dq3_jp,Bank $15 at $d8db,[CTRL][$96][$a2]^
$0ad95b,4,ascii,Bank $15 at $d95b,.5Lf
